area,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university
Almodôvar,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,4.0,2.0,2.0,1.0,13.0,0.0,0.0,0.0
Alpiarça,0.0,0.0,0.0,2.0,0.0,5.0,3.0,1.0,2.0,5.0,2.0,2.0,13.0,0.0,2.0,0.0
Alter do Chão,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,7.0,2.0,0.0,1.0
Alvaiázere,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,1.0,3.0,9.0,0.0,0.0,0.0
Alvito,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0,0.0,0.0
Amadora,1.0,3.0,1.0,5.0,7.0,45.0,8.0,10.0,3.0,69.0,17.0,12.0,108.0,9.0,10.0,2.0
Amares,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,3.0,5.0,2.0,3.0,31.0,0.0,0.0,0.0
Angra do Heroísmo,1.0,0.0,1.0,5.0,1.0,4.0,2.0,2.0,14.0,11.0,5.0,3.0,42.0,1.0,4.0,1.0
Ansião,1.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,3.0,3.0,1.0,3.0,17.0,0.0,0.0,0.0
Arcos de Valdevez,1.0,0.0,2.0,3.0,4.0,11.0,4.0,2.0,5.0,10.0,2.0,4.0,15.0,1.0,1.0,0.0
Armamar,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0
Arouca,2.0,1.0,2.0,6.0,1.0,9.0,5.0,2.0,5.0,10.0,3.0,9.0,58.0,3.0,6.0,0.0
Arronches,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,5.0,3.0,0.0,0.0
Arruda dos Vinhos,0.0,0.0,0.0,2.0,2.0,8.0,2.0,1.0,2.0,5.0,2.0,2.0,13.0,1.0,1.0,0.0
Aveiro,1.0,1.0,5.0,8.0,3.0,38.0,4.0,10.0,14.0,41.0,12.0,22.0,120.0,14.0,7.0,8.0
Avis,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,7.0,2.0,2.0,14.0,0.0,0.0,0.0
Azambuja,0.0,0.0,1.0,4.0,2.0,13.0,5.0,3.0,2.0,14.0,8.0,6.0,44.0,5.0,2.0,0.0
Barcelos,1.0,0.0,2.0,5.0,3.0,48.0,4.0,9.0,7.0,45.0,5.0,11.0,126.0,17.0,4.0,6.0
Barrancos,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0
Barreiro,2.0,0.0,1.0,2.0,1.0,35.0,5.0,11.0,3.0,37.0,10.0,8.0,75.0,9.0,5.0,1.0
Batalha,2.0,1.0,1.0,5.0,2.0,10.0,4.0,2.0,9.0,8.0,3.0,5.0,32.0,1.0,2.0,0.0
Beja,2.0,0.0,1.0,2.0,1.0,8.0,3.0,3.0,13.0,12.0,6.0,3.0,42.0,3.0,2.0,2.0
Belmonte,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,5.0,1.0,2.0,0.0,6.0,3.0,0.0,0.0
Benavente,1.0,0.0,0.0,4.0,0.0,14.0,3.0,2.0,4.0,8.0,5.0,2.0,29.0,3.0,2.0,0.0
Bombarral,1.0,0.0,1.0,3.0,0.0,8.0,5.0,0.0,3.0,5.0,3.0,3.0,14.0,4.0,2.0,0.0
Borba,1.0,0.0,0.0,2.0,0.0,5.0,1.0,1.0,3.0,4.0,3.0,2.0,14.0,0.0,2.0,0.0
Braga,2.0,2.0,2.0,4.0,9.0,57.0,7.0,22.0,21.0,53.0,10.0,16.0,159.0,11.0,5.0,7.0
Bragança,4.0,0.0,8.0,18.0,11.0,42.0,14.0,1.0,53.0,64.0,36.0,27.0,155.0,21.0,12.0,7.0
Cabeceiras de Basto,0.0,0.0,1.0,2.0,0.0,6.0,1.0,0.0,8.0,6.0,2.0,2.0,17.0,1.0,0.0,0.0
Cadaval,1.0,0.0,1.0,3.0,1.0,5.0,3.0,0.0,2.0,5.0,2.0,2.0,18.0,4.0,3.0,0.0
Cantanhede,0.0,0.0,1.0,3.0,3.0,25.0,2.0,1.0,5.0,18.0,7.0,7.0,67.0,0.0,1.0,0.0
Carrazeda de Ansiães,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,4.0,3.0,2.0,1.0,9.0,6.0,0.0,0.0
Carregal do Sal,0.0,0.0,1.0,4.0,0.0,8.0,1.0,1.0,3.0,5.0,1.0,1.0,10.0,5.0,1.0,0.0
Cartaxo,0.0,0.0,0.0,2.0,0.0,12.0,3.0,0.0,3.0,12.0,4.0,5.0,30.0,6.0,2.0,0.0
Cascais,2.0,3.0,3.0,6.0,7.0,61.0,6.0,29.0,17.0,58.0,19.0,15.0,171.0,11.0,6.0,5.0
Castelo de Paiva,0.0,0.0,1.0,2.0,2.0,12.0,1.0,0.0,2.0,6.0,2.0,4.0,26.0,0.0,3.0,0.0
Castelo de Vide,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0
Castro Daire,0.0,0.0,1.0,4.0,0.0,7.0,0.0,1.0,4.0,8.0,2.0,1.0,28.0,1.0,1.0,0.0
Castro Verde,2.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,2.0,4.0,2.0,2.0,21.0,1.0,1.0,0.0
Celorico de Basto,0.0,0.0,1.0,2.0,1.0,16.0,4.0,1.0,5.0,9.0,2.0,2.0,30.0,3.0,0.0,0.0
Chamusca,0.0,1.0,2.0,2.0,3.0,12.0,7.0,0.0,13.0,22.0,11.0,5.0,46.0,12.0,7.0,2.0
Chaves,1.0,1.0,2.0,4.0,3.0,13.0,2.0,1.0,9.0,17.0,7.0,6.0,35.0,3.0,0.0,1.0
Cinfães,0.0,0.0,1.0,3.0,5.0,6.0,0.0,0.0,1.0,9.0,5.0,2.0,47.0,1.0,3.0,0.0
Coimbra,3.0,4.0,13.0,5.0,13.0,58.0,13.0,16.0,22.0,50.0,12.0,30.0,133.0,17.0,10.0,18.0
Condeixa-a-Nova,0.0,0.0,1.0,1.0,3.0,10.0,1.0,0.0,4.0,7.0,1.0,6.0,24.0,2.0,1.0,1.0
Constância,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,9.0,5.0,3.0,1.0,7.0,2.0,3.0,0.0
Coruche,0.0,0.0,1.0,3.0,0.0,20.0,1.0,0.0,9.0,8.0,8.0,5.0,33.0,1.0,0.0,1.0
Corvo,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0
Covilhã,1.0,1.0,3.0,4.0,3.0,26.0,4.0,8.0,17.0,26.0,15.0,13.0,64.0,20.0,6.0,2.0
Crato,1.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0,4.0,4.0,3.0,9.0,2.0,2.0,1.0
Cuba,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,4.0,2.0,3.0,2.0,9.0,2.0,1.0,0.0
Câmara de Lobos,0.0,1.0,0.0,2.0,1.0,4.0,3.0,1.0,2.0,14.0,1.0,7.0,36.0,4.0,1.0,0.0
Elvas,1.0,0.0,1.0,3.0,1.0,13.0,5.0,3.0,15.0,11.0,10.0,9.0,23.0,3.0,6.0,1.0
Entroncamento,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,12.0,1.0,0.0,1.0
Esposende,1.0,1.0,1.0,2.0,4.0,12.0,1.0,1.0,8.0,11.0,3.0,4.0,32.0,1.0,1.0,0.0
Estarreja,0.0,0.0,1.0,2.0,1.0,5.0,2.0,0.0,5.0,5.0,3.0,4.0,27.0,5.0,1.0,0.0
Estremoz,2.0,0.0,1.0,3.0,0.0,8.0,2.0,1.0,8.0,10.0,8.0,3.0,29.0,1.0,1.0,0.0
Fafe,0.0,0.0,1.0,1.0,1.0,15.0,2.0,3.0,7.0,11.0,3.0,3.0,49.0,1.0,1.0,1.0
Faro,4.0,0.0,4.0,5.0,3.0,29.0,5.0,6.0,10.0,21.0,7.0,7.0,53.0,8.0,6.0,3.0
Felgueiras,0.0,0.0,1.0,2.0,1.0,16.0,3.0,2.0,1.0,13.0,3.0,4.0,62.0,2.0,1.0,1.0
Ferreira do Zêzere,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0
Figueira de Castelo Rodrigo,0.0,0.0,2.0,2.0,0.0,4.0,1.0,1.0,7.0,7.0,5.0,5.0,18.0,1.0,1.0,1.0
Figueiró dos Vinhos,0.0,0.0,1.0,2.0,2.0,7.0,1.0,0.0,2.0,7.0,2.0,2.0,9.0,1.0,1.0,0.0
Fornos de Algodres,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,3.0,1.0,3.0,6.0,2.0,0.0,0.0
Freixo de Espada à Cinta,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,3.0,4.0,2.0,2.0,4.0,1.0,0.0,0.0
Fronteira,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
Funchal,1.0,1.0,4.0,7.0,5.0,16.0,8.0,28.0,28.0,45.0,12.0,16.0,73.0,7.0,7.0,4.0
Fundão,1.0,1.0,1.0,4.0,3.0,24.0,1.0,4.0,12.0,21.0,9.0,15.0,58.0,12.0,3.0,2.0
Gondomar,2.0,2.0,2.0,11.0,3.0,74.0,6.0,7.0,12.0,46.0,17.0,20.0,188.0,30.0,10.0,1.0
Gouveia,2.0,0.0,3.0,7.0,3.0,9.0,4.0,0.0,10.0,11.0,5.0,4.0,28.0,4.0,2.0,1.0
Grândola,2.0,0.0,2.0,3.0,1.0,11.0,4.0,0.0,6.0,15.0,9.0,5.0,41.0,5.0,3.0,1.0
Guimarães,6.0,0.0,7.0,9.0,14.0,61.0,13.0,32.0,25.0,80.0,16.0,27.0,226.0,14.0,9.0,10.0
Lagoa,0.0,0.0,0.0,1.0,0.0,9.0,2.0,1.0,2.0,11.0,2.0,3.0,15.0,5.0,2.0,0.0
Lagoa [R.A.A.],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,5.0,0.0,3.0
Lagos,1.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,3.0,10.0,5.0,6.0,32.0,5.0,2.0,0.0
Lajes das Flores,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0
Lisboa,14.0,16.0,15.0,25.0,39.0,189.0,88.0,55.0,109.0,351.0,74.0,69.0,431.0,103.0,77.0,53.0
Loulé,4.0,0.0,4.0,6.0,4.0,47.0,7.0,7.0,19.0,35.0,13.0,16.0,95.0,14.0,9.0,4.0
Loures,2.0,1.0,1.0,15.0,6.0,121.0,12.0,23.0,11.0,87.0,18.0,25.0,190.0,12.0,14.0,3.0
Lourinhã,0.0,0.0,1.0,1.0,0.0,13.0,3.0,1.0,3.0,11.0,2.0,8.0,30.0,2.0,2.0,0.0
Lousada,0.0,0.0,1.0,2.0,2.0,11.0,1.0,0.0,1.0,7.0,1.0,1.0,52.0,5.0,0.0,0.0
Lousã,0.0,0.0,1.0,2.0,1.0,6.0,1.0,1.0,4.0,6.0,1.0,2.0,9.0,0.0,2.0,0.0
Mafra,1.0,0.0,1.0,3.0,1.0,28.0,4.0,4.0,9.0,23.0,7.0,6.0,64.0,13.0,4.0,1.0
Maia,5.0,1.0,2.0,12.0,6.0,68.0,7.0,22.0,14.0,68.0,15.0,25.0,165.0,55.0,10.0,11.0
Mangualde,0.0,0.0,1.0,2.0,0.0,9.0,1.0,3.0,0.0,2.0,3.0,1.0,21.0,5.0,1.0,0.0
Marco de Canaveses,2.0,0.0,3.0,5.0,6.0,23.0,2.0,3.0,3.0,13.0,7.0,3.0,109.0,13.0,2.0,1.0
Marinha Grande,2.0,0.0,1.0,2.0,0.0,21.0,2.0,3.0,5.0,12.0,5.0,2.0,43.0,3.0,3.0,2.0
Matosinhos,3.0,4.0,3.0,8.0,9.0,54.0,7.0,22.0,20.0,61.0,13.0,19.0,127.0,44.0,12.0,23.0
Mação,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,6.0,3.0,1.0,2.0,5.0,4.0,2.0,0.0
Mesão Frio,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,7.0,4.0,0.0,0.0
Mira,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,2.0,2.0,2.0,15.0,0.0,0.0,0.0
Mirandela,0.0,0.0,2.0,3.0,3.0,12.0,2.0,0.0,4.0,12.0,5.0,4.0,24.0,2.0,0.0,1.0
Mogadouro,1.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,2.0,6.0,4.0,4.0,16.0,1.0,1.0,0.0
Monchique,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0
Mondim de Basto,0.0,0.0,0.0,2.0,1.0,5.0,2.0,0.0,4.0,4.0,2.0,1.0,19.0,1.0,0.0,0.0
Monforte,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,3.0,1.0,2.0,1.0,6.0,2.0,0.0,0.0
Montalegre,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,7.0,8.0,4.0,4.0,13.0,2.0,1.0,0.0
Mora,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,6.0,4.0,1.0,6.0,0.0,0.0,0.0
Mortágua,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,3.0,0.0,0.0
Moura,1.0,0.0,1.0,2.0,0.0,4.0,3.0,0.0,6.0,12.0,9.0,2.0,22.0,1.0,1.0,0.0
Murtosa,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,1.0,3.0,11.0,0.0,0.0,0.0
Murça,0.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,15.0,1.0,3.0,0.0
Mértola,0.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,13.0,4.0,5.0,4.0,16.0,2.0,3.0,0.0
Mêda,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,4.0,3.0,0.0,1.0,0.0
Nazaré,2.0,0.0,2.0,2.0,2.0,7.0,3.0,2.0,5.0,7.0,6.0,2.0,26.0,5.0,2.0,0.0
Nelas,0.0,0.0,1.0,2.0,0.0,15.0,1.0,0.0,2.0,2.0,4.0,3.0,17.0,5.0,1.0,0.0
Nisa,1.0,0.0,1.0,1.0,0.0,5.0,3.0,0.0,5.0,5.0,4.0,4.0,5.0,3.0,1.0,0.0
Odemira,2.0,0.0,1.0,4.0,0.0,12.0,1.0,1.0,0.0,15.0,11.0,11.0,58.0,7.0,0.0,0.0
Oeiras,2.0,0.0,3.0,6.0,8.0,66.0,5.0,12.0,11.0,58.0,18.0,15.0,123.0,11.0,16.0,10.0
Oleiros,0.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,6.0,0.0,2.0,0.0
Oliveira de Azeméis,4.0,1.0,8.0,9.0,5.0,38.0,7.0,6.0,12.0,27.0,6.0,21.0,108.0,12.0,12.0,3.0
Oliveira de Frades,0.0,0.0,1.0,3.0,1.0,14.0,2.0,0.0,4.0,8.0,2.0,3.0,19.0,1.0,1.0,0.0
Oliveira do Bairro,0.0,0.0,0.0,1.0,2.0,9.0,2.0,0.0,4.0,5.0,3.0,3.0,39.0,3.0,0.0,0.0
Ourique,2.0,0.0,1.0,1.0,0.0,5.0,2.0,0.0,2.0,7.0,4.0,3.0,32.0,3.0,0.0,0.0
Ovar,3.0,0.0,4.0,4.0,4.0,32.0,6.0,5.0,11.0,30.0,9.0,23.0,92.0,15.0,12.0,0.0
Paredes,0.0,0.0,1.0,9.0,2.0,29.0,3.0,4.0,4.0,18.0,7.0,9.0,89.0,14.0,5.0,2.0
Paredes de Coura,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,4.0,1.0,1.0,7.0,1.0,0.0,0.0
Paços de Ferreira,1.0,0.0,1.0,2.0,0.0,7.0,0.0,2.0,3.0,7.0,3.0,3.0,36.0,2.0,1.0,0.0
Pedrógão Grande,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,1.0,7.0,1.0,1.0,0.0
Penalva do Castelo,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0
Penamacor,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0
Penedono,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
Penela,0.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,6.0,0.0,1.0,2.0,13.0,0.0,0.0,0.0
Peniche,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,4.0,5.0,3.0,3.0,22.0,2.0,1.0,2.0
Pombal,1.0,0.0,1.0,7.0,1.0,33.0,1.0,4.0,6.0,21.0,6.0,6.0,91.0,11.0,1.0,0.0
Ponta Delgada,1.0,1.0,1.0,3.0,2.0,6.0,5.0,3.0,11.0,17.0,6.0,7.0,55.0,1.0,5.0,1.0
Ponta do Sol,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,10.0,0.0,0.0,0.0
Ponte da Barca,1.0,0.0,2.0,3.0,4.0,11.0,3.0,2.0,7.0,10.0,2.0,3.0,16.0,1.0,1.0,0.0
Ponte de Lima,0.0,0.0,1.0,2.0,3.0,15.0,2.0,2.0,3.0,13.0,6.0,2.0,39.0,2.0,1.0,2.0
Ponte de Sor,0.0,0.0,0.0,3.0,0.0,10.0,3.0,0.0,3.0,10.0,6.0,5.0,25.0,3.0,4.0,0.0
Portalegre,11.0,11.0,6.0,30.0,10.0,62.0,30.0,8.0,78.0,107.0,65.0,44.0,221.0,31.0,28.0,16.0
Portel,2.0,1.0,2.0,4.0,0.0,6.0,3.0,1.0,8.0,8.0,4.0,3.0,20.0,2.0,1.0,1.0
Porto,8.0,11.0,11.0,8.0,20.0,72.0,20.0,39.0,72.0,119.0,36.0,30.0,213.0,53.0,24.0,43.0
Porto Moniz,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0
Povoação,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,2.0,3.0,11.0,0.0,1.0,0.0
Proença-a-Nova,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,3.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0
Póvoa de Lanhoso,0.0,0.0,1.0,2.0,1.0,11.0,1.0,2.0,2.0,5.0,1.0,2.0,18.0,0.0,1.0,1.0
Póvoa de Varzim,0.0,0.0,0.0,3.0,5.0,22.0,4.0,8.0,6.0,14.0,5.0,2.0,49.0,4.0,3.0,3.0
Reguengos de Monsaraz,1.0,1.0,1.0,2.0,0.0,3.0,4.0,1.0,7.0,6.0,3.0,2.0,14.0,0.0,1.0,1.0
Resende,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,11.0,5.0,3.0,0.0
Ribeira Grande,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,12.0,6.0,4.0,3.0,23.0,1.0,2.0,0.0
Ribeira de Pena,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,4.0,2.0,9.0,0.0,0.0,0.0
Rio Maior,2.0,0.0,1.0,2.0,2.0,11.0,2.0,3.0,5.0,11.0,2.0,3.0,49.0,1.0,2.0,1.0
Sabrosa,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,3.0,2.0,2.0,21.0,3.0,1.0,0.0
Salvaterra de Magos,1.0,0.0,0.0,2.0,0.0,9.0,2.0,0.0,4.0,4.0,3.0,2.0,17.0,2.0,0.0,0.0
Santa Comba Dão,0.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0,5.0,3.0,0.0,0.0
Santa Cruz,0.0,0.0,1.0,4.0,1.0,6.0,4.0,13.0,4.0,12.0,6.0,6.0,24.0,4.0,3.0,0.0
Santa Cruz da Graciosa,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,0.0
Santa Cruz das Flores,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0
Santa Marta de Penaguião,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,22.0,0.0,1.0,0.0
Santana,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,4.0,10.0,2.0,3.0,0.0
Santarém,1.0,14.0,3.0,9.0,3.0,36.0,8.0,2.0,12.0,21.0,10.0,6.0,81.0,5.0,9.0,1.0
Santiago do Cacém,0.0,0.0,2.0,5.0,1.0,12.0,3.0,0.0,5.0,15.0,7.0,6.0,37.0,2.0,1.0,1.0
Santo Tirso,1.0,0.0,2.0,7.0,4.0,20.0,1.0,8.0,6.0,29.0,9.0,10.0,95.0,10.0,3.0,0.0
Sardoal,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
Seia,2.0,0.0,3.0,5.0,3.0,10.0,5.0,0.0,10.0,12.0,8.0,7.0,32.0,13.0,2.0,1.0
Seixal,1.0,0.0,2.0,6.0,3.0,75.0,6.0,16.0,6.0,41.0,12.0,13.0,108.0,11.0,8.0,3.0
Serpa,2.0,0.0,2.0,2.0,2.0,4.0,3.0,0.0,12.0,12.0,9.0,4.0,28.0,3.0,0.0,0.0
Sertã,1.0,0.0,3.0,5.0,1.0,6.0,5.0,0.0,5.0,8.0,6.0,4.0,25.0,4.0,4.0,0.0
Sesimbra,1.0,0.0,0.0,2.0,2.0,25.0,5.0,5.0,5.0,8.0,9.0,5.0,39.0,1.0,3.0,0.0
Setúbal,2.0,0.0,2.0,5.0,7.0,35.0,4.0,5.0,12.0,41.0,15.0,9.0,82.0,7.0,13.0,1.0
Sever do Vouga,0.0,1.0,1.0,1.0,0.0,9.0,1.0,0.0,1.0,6.0,1.0,4.0,21.0,1.0,4.0,0.0
Silves,3.0,1.0,1.0,6.0,1.0,35.0,5.0,5.0,11.0,36.0,13.0,16.0,68.0,16.0,5.0,0.0
Sines,1.0,0.0,2.0,6.0,1.0,5.0,3.0,1.0,3.0,8.0,7.0,1.0,17.0,1.0,1.0,1.0
Sintra,4.0,2.0,2.0,11.0,11.0,118.0,11.0,23.0,22.0,87.0,22.0,21.0,225.0,20.0,17.0,7.0
Sobral de Monte Agraço,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,9.0,6.0,1.0,0.0
Sousel,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,13.0,0.0,0.0,0.0
Sátão,0.0,0.0,1.0,2.0,1.0,8.0,1.0,0.0,2.0,3.0,4.0,2.0,12.0,0.0,2.0,0.0
São Brás de Alportel,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,4.0,2.0,1.0,1.0,13.0,3.0,2.0,0.0
São João da Madeira,2.0,0.0,1.0,3.0,2.0,7.0,1.0,3.0,2.0,6.0,2.0,5.0,26.0,4.0,4.0,0.0
São Pedro do Sul,1.0,0.0,4.0,7.0,1.0,12.0,6.0,1.0,4.0,16.0,3.0,5.0,38.0,4.0,2.0,1.0
São Roque do Pico,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0
São Vicente,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,4.0,3.0,2.0,1.0,4.0,0.0,1.0,1.0
Tabuaço,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0
Tarouca,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,5.0,1.0,2.0,9.0,0.0,0.0,0.0
Tavira,3.0,0.0,1.0,2.0,0.0,22.0,2.0,2.0,12.0,16.0,7.0,6.0,30.0,13.0,3.0,0.0
Terras de Bouro,0.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,7.0,4.0,2.0,3.0,18.0,1.0,0.0,0.0
Tomar,1.0,0.0,1.0,3.0,3.0,9.0,3.0,2.0,13.0,12.0,5.0,3.0,49.0,12.0,5.0,1.0
Tondela,0.0,0.0,1.0,4.0,2.0,24.0,1.0,4.0,6.0,10.0,4.0,5.0,29.0,1.0,3.0,0.0
Torre de Moncorvo,2.0,0.0,2.0,4.0,0.0,13.0,2.0,0.0,9.0,8.0,6.0,4.0,14.0,3.0,4.0,1.0
